Tournament,Year,Team,Player,DOB,Batting_Style,Bowling_Style,First_Class_Team
ODI World Cup,2019,Pakistan,Mohammad Hasnain,5 April 2000,Right-handed,Right-arm fast-medium,Sindh
ODI World Cup,2019,Pakistan,"Sarfaraz Ahmed (c, wk)",22 May 1987,Right-handed,Right-arm off spin,Sindh
ODI World Cup,2019,Pakistan,Shadab Khan,4 October 1998,Right-handed,Right-arm leg spin,Khyber Pakhtunkhwa
ODI World Cup,2019,Pakistan,Shaheen Afridi,6 April 2000,Left-handed,Left-arm fast,Baluchistan
ODI World Cup,2019,Pakistan,Shoaib Malik,1 February 1982,Right-handed,Right-arm off spin,Punjab
ODI World Cup,2019,Pakistan,Wahab Riaz,28 June 1985,Right-handed,Left-arm fast,Khyber Pakhtunkhwa
ODI World Cup,2019,South Africa,Aiden Markram,4 October 1994,Right-handed,Right-arm off spin,Titans
ODI World Cup,2019,South Africa,Andile Phehlukwayo,3 March 1996,Left-handed,Right-arm fast-medium,Dolphins
ODI World Cup,2019,South Africa,Anrich Nortje,16 November 1993,Right-handed,Right-arm fast,Warriors
ODI World Cup,2019,South Africa,Chris Morris,30 April 1987,Right-handed,Right-arm fast-medium,Titans
ODI World Cup,2019,South Africa,Dale Steyn,27 June 1983,Right-handed,Right-arm fast,Titans
ODI World Cup,2019,South Africa,David Miller,10 June 1989,Left-handed,Right-arm off spin,Dolphins
ODI World Cup,2019,South Africa,Dwaine Pretorius,29 March 1989,Right-handed,Right-arm fast-medium,Lions
ODI World Cup,2019,South Africa,Faf du Plessis (c),13 July 1984,Right-handed,Right-arm leg spin,Titans
ODI World Cup,2019,South Africa,Hashim Amla,31 March 1983,Right-handed,Right-arm off spin,Cape Cobras
ODI World Cup,2019,South Africa,Imran Tahir,27 March 1979,Right-handed,Right-arm leg spin,Dolphins
ODI World Cup,2019,South Africa,JP Duminy,14 April 1984,Left-handed,Right-arm off spin,Cape Cobras
ODI World Cup,2019,South Africa,Kagiso Rabada,25 May 1995,Left-handed,Right-arm fast,Lions
ODI World Cup,2019,South Africa,Lungi Ngidi,29 March 1996,Right-handed,Right-arm fast,Titans
ODI World Cup,2019,South Africa,"Quinton de Kock (vc, wk)",17 December 1992,Left-handed,Left-arm orthodox,Titans
ODI World Cup,2019,South Africa,Rassie van der Dussen,7 February 1989,Right-handed,Right-arm leg spin,Lions
ODI World Cup,2019,South Africa,Tabraiz Shamsi,18 February 1990,Right-handed,Left-arm wrist spin,Titans
ODI World Cup,2019,Sri Lanka,Angelo Mathews,2 June 1987,Right-handed,Right-arm fast-medium,Colts
ODI World Cup,2019,Sri Lanka,Avishka Fernando,5 April 1998,Right-handed,Right-arm medium,Colts
ODI World Cup,2019,Sri Lanka,Dhananjaya de Silva (vc),6 September 1991,Right-handed,Right-arm off spin,Tamil Union
ODI World Cup,2019,Sri Lanka,Dimuth Karunaratne (c),21 April 1988,Left-handed,Right-arm medium,Sinhalese
ODI World Cup,2019,Sri Lanka,Isuru Udana,17 February 1988,Right-handed,Left-arm fast-medium,Chilaw Marians
ODI World Cup,2019,Sri Lanka,Jeevan Mendis,15 January 1983,Left-handed,Right-arm leg spin,Tamil Union
ODI World Cup,2019,Sri Lanka,Jeffrey Vandersay,5 February 1990,Right-handed,Right-arm leg spin,Sinhalese
ODI World Cup,2019,Sri Lanka,Kusal Mendis,2 February 1995,Right-handed,Right-arm leg spin,Colombo
ODI World Cup,2019,Sri Lanka,Kusal Perera (wk),17 August 1990,Left-handed,Right-arm medium,Colts
ODI World Cup,2019,Sri Lanka,Lahiru Thirimanne,9 August 1989,Left-handed,Right-arm medium,Ragama
ODI World Cup,2019,Sri Lanka,Lasith Malinga,28 August 1983,Right-handed,Right-arm fast,Nondescripts
ODI World Cup,2019,Sri Lanka,Milinda Siriwardana,4 December 1985,Left-handed,Left-arm orthodox,Chilaw Marians
ODI World Cup,2019,Sri Lanka,Nuwan Pradeep,19 October 1986,Right-handed,Right-arm fast-medium,Sinhalese
ODI World Cup,2019,Sri Lanka,Suranga Lakmal,10 March 1987,Right-handed,Right-arm fast-medium,Tamil Union
ODI World Cup,2019,Sri Lanka,Thisara Perera,3 April 1989,Left-handed,Right-arm medium,Sinhalese
ODI World Cup,2019,West Indies,Andre Russell,29 April 1988,Right-handed,Right-arm fast,Jamaica
ODI World Cup,2019,West Indies,Ashley Nurse,22 December 1988,Right-handed,Right-arm off spin,Barbados
ODI World Cup,2019,West Indies,Carlos Brathwaite,18 July 1988,Right-handed,Right-arm medium,Barbados
ODI World Cup,2019,West Indies,Chris Gayle (vc),21 September 1979,Left-handed,Right-arm off spin,Jamaica
ODI World Cup,2019,West Indies,Darren Bravo,6 February 1989,Left-handed,Right-arm medium,Trinidad and Tobago
ODI World Cup,2019,West Indies,Evin Lewis,27 December 1991,Left-handed,Right-arm medium,Trinidad and Tobago
ODI World Cup,2019,West Indies,Fabian Allen,7 May 1995,Right-handed,Left-arm orthodox,Jamaica
ODI World Cup,2019,West Indies,Jason Holder (c),5 November 1991,Right-handed,Right-arm medium,Barbados
ODI World Cup,2019,West Indies,Kemar Roach,30 June 1988,Right-handed,Right-arm fast-medium,Barbados
ODI World Cup,2019,West Indies,Nicholas Pooran (wk),2 October 1995,Left-handed,-,Trinidad and Tobago
ODI World Cup,2019,West Indies,Oshane Thomas,18 February 1997,Left-handed,Right-arm fast,Jamaica
ODI World Cup,2019,West Indies,Shai Hope (wk),10 November 1993,Right-handed,Left-arm medium,Barbados
ODI World Cup,2019,West Indies,Shannon Gabriel,28 April 1988,Right-handed,Right-arm fast,Trinidad and Tobago
ODI World Cup,2019,West Indies,Sheldon Cottrell,19 August 1989,Right-handed,Left-arm fast-medium,Jamaica
ODI World Cup,2019,West Indies,Shimron Hetmyer,26 December 1996,Left-handed,Right-arm leg spin,Guyana
ODI World Cup,2023,Afghanistan,Abdul Rahman,22 November 2001,Right-handed,Right-arm medium-fast,Band-e-Amir Dragons
ODI World Cup,2023,Afghanistan,Azmatullah Omarzai,24 March 2000,Right-handed,Right-arm medium-fast,Mis Ainak Knights
ODI World Cup,2023,Afghanistan,Fazalhaq Farooqi,22 September 2000,Right-handed,Left-arm fast-medium,Kabul Eagles
ODI World Cup,2023,Afghanistan,Hashmatullah Shahidi (c),4 November 1994,Left-handed,Right-arm off break,Band-e-Amir Region
ODI World Cup,2023,Afghanistan,Ibrahim Zadran,12 December 2001,Right-handed,Right-arm medium-fast,Boost Defenders
ODI World Cup,2023,Afghanistan,Ikram Alikhil,28 November 2000,Left-handed,Wicket-keeper,Speenghar Tigers
ODI World Cup,2023,Afghanistan,Mohammad Nabi,1 January 1985,Right-handed,Right-arm off spin,Band-e-Amir Dragons
ODI World Cup,2023,Afghanistan,Mujeeb Ur Rahman,28 March 2001,Right-handed,Right-arm off break,Speenghar Tigers
ODI World Cup,2023,Afghanistan,Najibullah Zadran,18 February 1993,Left-handed,Right-arm off break,Boost Defenders
ODI World Cup,2023,Afghanistan,Naveen-ul-Haq,23 September 1999,Right-handed,Right-arm medium-fast,Kabul Eagles
ODI World Cup,2023,Afghanistan,Noor Ahmad,3 January 2005,Right-handed,Left-arm unorthodox spin,Mis Ainak Knights
ODI World Cup,2023,Afghanistan,Rahmanullah Gurbaz (wk),28 November 2001,Right-handed,Wicket-keeper,Kabul Eagles
ODI World Cup,2023,Afghanistan,Rahmat Shah,6 July 1993,Right-handed,Right-arm leg break,Mis Ainak Knights
ODI World Cup,2023,Afghanistan,Rashid Khan,20 September 1998,Right-handed,Right-arm leg spin,Speenghar Tigers
ODI World Cup,2023,Afghanistan,Riaz Hassan,7 November 2002,Right-handed,-,Speenghar Tigers
ODI World Cup,2023,Australia,Adam Zampa,31 March 1992,Right-handed,Right-arm leg-break,New South Wales
ODI World Cup,2023,Australia,Alex Carey (wk),27 August 1991,Left-handed,Wicket-keeper,South Australia
ODI World Cup,2023,Australia,Ashton Agar,14 October 1993,Left-handed,Slow left-arm orthodox,Western Australia
ODI World Cup,2023,Australia,Cameron Green,3 June 1999,Right-handed,Right-arm fast-medium,Western Australia
ODI World Cup,2023,Australia,David Warner,27 October 1986,Left-handed,Right-arm leg-break,New South Wales
ODI World Cup,2023,Australia,Glenn Maxwell,14 October 1988,Right-handed,Right-arm off-break,Victoria
ODI World Cup,2023,Australia,Josh Hazlewood,8 January 1991,Left-handed,Right-arm fast-medium,New South Wales
ODI World Cup,2023,Australia,Josh Inglis (wk),10 June 1995,Right-handed,Wicket-keeper,Western Australia
ODI World Cup,2023,Australia,Marcus Stoinis,16 August 1989,Right-handed,Right-arm fast-medium,Western Australia
ODI World Cup,2023,Australia,Marnus Labuschagne,22 May 1994,Right-handed,Right-arm leg spin,Queensland
ODI World Cup,2023,Australia,Mitchell Marsh,20 October 1991,Right-handed,Right-arm fast-medium,Western Australia
ODI World Cup,2023,Australia,Mitchell Starc,30 January 1990,Left-handed,Left-arm fast,New South Wales
ODI World Cup,2023,Australia,Pat Cummins (c),8 May 1993,Right-handed,Right-arm fast,New South Wales
ODI World Cup,2023,Australia,Sean Abbott,29 February 1992,Right-handed,Right-arm fast-medium,New South Wales
ODI World Cup,2023,Australia,Steve Smith,2 June 1989,Right-handed,Right-arm leg spin,New South Wales
ODI World Cup,2023,Australia,Travis Head,29 December 1993,Left-handed,Right-arm off-break,South Australia
ODI World Cup,2023,Bangladesh,Anamul Haque,16 December 1992,Right-handed,Right-arm medium-fast,Prime Bank
ODI World Cup,2023,Bangladesh,Hasan Mahmud,12 October 1999,Right-handed,Right-arm fast-medium,KSKS
ODI World Cup,2023,Bangladesh,Litton Das,13 October 1994,Right-handed,Right-arm off spin,Mohammedan Sporting
ODI World Cup,2023,Bangladesh,Mahedi Hasan,12 December 1994,Right-handed,Right-arm off spin,Gazi Group Cricketers
ODI World Cup,2023,Bangladesh,Mahmudullah,4 February 1986,Right-handed,Right-arm off spin,Abahani Limited
ODI World Cup,2023,Bangladesh,Mehidy Hasan,25 October 1997,Right-handed,Right-arm off spin,Kalabagan
ODI World Cup,2023,Bangladesh,Mushfiqur Rahim (wk),9 May 1987,Right-handed,Right-arm medium,Legends of Rupganj
ODI World Cup,2023,Bangladesh,Mustafizur Rahman,6 September 1995,Left-handed,Left-arm fast-medium,Abahani Limited
ODI World Cup,2023,Bangladesh,Najmul Hossain Shanto (vc),25 August 1998,Left-handed,Right-arm off spin,Kalabagan
ODI World Cup,2023,Bangladesh,Nasum Ahmed,5 December 1994,Left-handed,Left-arm orthodox spin,Uttara Sporting Club
ODI World Cup,2023,Bangladesh,Shakib Al Hasan (c),24 March 1987,Left-handed,Slow left-arm orthodox,Abahani Limited
ODI World Cup,2023,Bangladesh,Shoriful Islam,3 June 2001,Left-handed,Left-arm medium-fast,Prime Bank
ODI World Cup,2023,Bangladesh,Tanzid Hasan,1 December 2000,Left-handed,-,Kalabagan
ODI World Cup,2023,Bangladesh,Tanzim Hasan Sakib,20 October 2002,Right-handed,Right-arm medium-fast,BKSP
ODI World Cup,2023,Bangladesh,Taskin Ahmed,5 April 1995,Left-handed,Right-arm fast,Abahani Limited
ODI World Cup,2023,Bangladesh,Towhid Hridoy,4 December 2000,Right-handed,Right-arm off spin,Shinepukur
ODI World Cup,2023,England,Adil Rashid,17 February 1988,Right-handed,Right-arm leg spin,Yorkshire
ODI World Cup,2023,England,Ben Stokes,4 June 1991,Left-handed,Right-arm fast-medium,Durham
ODI World Cup,2023,England,Brydon Carse,31 July 1995,Right-handed,Right-arm fast,Durham
ODI World Cup,2023,England,Chris Woakes,2 March 1989,Right-handed,Right-arm fast-medium,Warwickshire
ODI World Cup,2023,England,David Willey,28 February 1990,Left-handed,Left-arm fast-medium,Northamptonshire
ODI World Cup,2023,England,Dawid Malan,3 September 1987,Left-handed,Right-arm leg spin,Yorkshire
ODI World Cup,2023,England,Gus Atkinson,19 January 1998,Right-handed,Right-arm fast,Surrey
ODI World Cup,2023,England,Harry Brook,22 February 1999,Right-handed,Right-arm medium,Yorkshire
ODI World Cup,2023,England,Joe Root,30 December 1990,Right-handed,Right-arm off spin,Yorkshire
ODI World Cup,2023,England,Jonny Bairstow,26 September 1989,Right-handed,Wicket-keeper,Yorkshire
ODI World Cup,2023,England,"Jos Buttler (c, wk)",8 September 1990,Right-handed,Wicket-keeper,Lancashire
ODI World Cup,2023,England,Liam Livingstone,4 August 1993,Right-handed,Right-arm leg spin,Lancashire
ODI World Cup,2023,England,Mark Wood,11 January 1990,Right-handed,Right-arm fast,Durham
ODI World Cup,2023,England,Moeen Ali (vc),7 June 1987,Left-handed,Right-arm off spin,Warwickshire
ODI World Cup,2023,England,Reece Topley,21 February 1994,Right-handed,Left-arm fast medium,Surrey
ODI World Cup,2023,England,Sam Curran,3 June 1998,Left-handed,Left-arm fast-medium,Surrey
ODI World Cup,2023,India,Axar Patel,20 January 1994,Left-handed,Slow left-arm orthodox,Gujarat
ODI World Cup,2023,India,Hardik Pandya,11 October 1993,Right-handed,Right-arm medium-fast,Baroda
ODI World Cup,2023,India,Ishan Kishan (wk),18 July 1998,Left-handed,Wicket-keeper,Jharkhand
ODI World Cup,2023,India,Jasprit Bumrah,6 December 1993,Right-handed,Right-arm fast,Gujarat
ODI World Cup,2023,India,"K. L. Rahul (vc, wk)",18 April 1992,Right-handed,Right-arm medium,Karnataka
ODI World Cup,2023,India,Kuldeep Yadav,11 December 1994,Right-handed,Left-arm unorthodox spin,Uttar Pradesh
ODI World Cup,2023,India,Mohammed Shami,3 September 1990,Right-handed,Right-arm fast,Bengal
ODI World Cup,2023,India,Mohammed Siraj,13 March 1994,Right-handed,Right-arm fast,Hyderabad
ODI World Cup,2023,India,Prasidh Krishna,19 February 1996,Right-handed,Right-arm fast-medium,Karnataka
ODI World Cup,2023,India,Ravichandran Ashwin,17 September 1986,Right-handed,Right-arm off spin,Tamil Nadu
ODI World Cup,2023,India,Ravindra Jadeja,6 December 1988,Left-handed,Slow left-arm orthodox,Saurashtra
ODI World Cup,2023,India,Rohit Sharma (c),30 April 1987,Right-handed,Right-arm off spin,Mumbai
ODI World Cup,2023,India,Shardul Thakur,16 December 1991,Right-handed,Right-arm medium,Mumbai
ODI World Cup,2023,India,Shreyas Iyer,6 December 1994,Right-handed,Right-arm leg spin,Mumbai
ODI World Cup,2023,India,Shubman Gill,8 September 1999,Right-handed,Right-arm off spin,Punjab
ODI World Cup,2023,India,Suryakumar Yadav,14 September 1990,Right-handed,Right-arm off break,Mumbai
ODI World Cup,2023,India,Virat Kohli,5 November 1988,Right-handed,Right-arm medium,Delhi
ODI World Cup,2023,Netherlands,Aryan Dutt,12 May 2003,Right-handed,Right-arm off spin,VRA Amsterdam
ODI World Cup,2023,Netherlands,Bas de Leede,15 November 1999,Right-handed,Right-arm fast medium,Durham
ODI World Cup,2023,Netherlands,Colin Ackermann,4 April 1991,Right-handed,Right-arm off spin,Leicestershire
ODI World Cup,2023,Netherlands,Logan van Beek,7 September 1990,Right-handed,Right-arm medium-fast,Voorburg
ODI World Cup,2023,Netherlands,Max O'Dowd,4 March 1994,Left-handed,Right-arm leg spin,VOC Rotterdam
ODI World Cup,2023,Netherlands,Noah Croes,13 December 1999,Right-handed,-,Voorburg
ODI World Cup,2023,Netherlands,Paul van Meekeren,15 January 1993,Right-handed,Right-arm fast-medium,Gloucestershire
ODI World Cup,2023,Netherlands,Roelof van der Merwe,31 December 1984,Right-handed,Slow left-arm orthodox,Somerset
ODI World Cup,2023,Netherlands,Ryan Klein,15 June 1997,Right-handed,Right-arm medium-fast,Voorburg
ODI World Cup,2023,Netherlands,Saqib Zulfiqar,28 March 1997,Right-handed,Right-arm leg spin,Punjab Rotterdam
ODI World Cup,2023,Netherlands,"Scott Edwards (c, wk)",23 August 1996,Right-handed,Wicket-keeper,VOC Rotterdam
ODI World Cup,2023,Netherlands,Shariz Ahmad,21 April 2003,Left-handed,Right-arm leg spin,Voorburg
ODI World Cup,2023,Netherlands,Sybrand Engelbrecht,15 September 1988,Right-handed,Right-arm off spin,Voorburg
ODI World Cup,2023,Netherlands,Teja Nidamanuru,22 August 1994,Right-handed,Right-arm off spin,VRA Amsterdam
ODI World Cup,2023,Netherlands,Vikramjit Singh,9 January 2003,Right-handed,Right-arm off spin,VRA Amsterdam
ODI World Cup,2023,Netherlands,Wesley Barresi,3 May 1984,Right-handed,Right-arm off spin,HBS Craeyenhout
ODI World Cup,2023,New Zealand,Daryl Mitchell,20 May 1991,Right-handed,Right-arm medium,Canterbury
ODI World Cup,2023,New Zealand,Devon Conway,8 July 1991,Left-handed,Right-arm medium,Wellington
ODI World Cup,2023,New Zealand,Glenn Phillips,6 December 1996,Right-handed,Right-arm off break,Otago
ODI World Cup,2023,New Zealand,Ish Sodhi,31 October 1992,Right-handed,Right-arm leg spin,Northern Districts
ODI World Cup,2023,New Zealand,James Neesham,17 September 1990,Left-handed,Right-arm medium-fast,Wellington
ODI World Cup,2023,New Zealand,Kane Williamson (c),8 August 1990,Right-handed,Right-arm off spin,Northern Districts
ODI World Cup,2023,New Zealand,Kyle Jamieson,30 December 1994,Right-handed,Right-arm fast-medium,Auckland
ODI World Cup,2023,New Zealand,Lockie Ferguson,13 June 1991,Right-handed,Right-arm fast,Auckland
ODI World Cup,2023,New Zealand,Mark Chapman,27 June 1994,Left-handed,Slow left-arm orthodox,Auckland
ODI World Cup,2023,New Zealand,Matt Henry,14 December 1991,Right-handed,Right-arm fast-medium,Canterbury
ODI World Cup,2023,New Zealand,Mitchell Santner,5 February 1992,Left-handed,Left-arm orthodox,Northern Districts
ODI World Cup,2023,New Zealand,Rachin Ravindra,18 November 1999,Left-handed,Slow left-arm orthodox,Wellington
ODI World Cup,2023,New Zealand,Tim Southee,11 December 1988,Right-handed,Right-arm fast-medium,Northern Districts
ODI World Cup,2023,New Zealand,"Tom Latham (vc, wk)",2 April 1992,Right-handed,Right-arm medium,Canterbury
ODI World Cup,2023,New Zealand,Trent Boult,22 July 1989,Right-handed,Left-arm fast-medium,Northern Districts
ODI World Cup,2023,New Zealand,Will Young,22 November 1992,Right-handed,Right-arm off break,Central Districts
ODI World Cup,2023,Pakistan,Abdullah Shafique,23 November 1999,Right-handed,Right-arm off spin,Balochistan
ODI World Cup,2023,Pakistan,Babar Azam (c),15 October 1994,Right-handed,Right-arm off spin,Islamabad
ODI World Cup,2023,Pakistan,Fakhar Zaman,10 April 1990,Left-handed,Slow left-arm orthodox,Khyber Pakhtunkhwa
ODI World Cup,2023,Pakistan,Haris Rauf,7 November 1993,Right-handed,Right-arm fast,Balochistan
ODI World Cup,2023,Pakistan,Hasan Ali,7 February 1994,Right-handed,Right-arm fast-medium,Central Punjab
ODI World Cup,2023,Pakistan,Iftikhar Ahmed,3 September 1990,Right-handed,Right-arm off spin,Khyber Pakhtunkhwa
ODI World Cup,2023,Pakistan,Imam-ul-Haq,22 December 1995,Left-handed,Right-arm leg spin,Balochistan
ODI World Cup,2023,Pakistan,Mohammad Nawaz,21 March 1994,Left-handed,Slow left-arm orthodox,Northern
ODI World Cup,2023,Pakistan,Mohammad Rizwan (wk),1 June 1992,Right-handed,Right-arm medium,Khyber Pakhtunkhwa
ODI World Cup,2023,Pakistan,Mohammad Wasim Jr.,25 August 2001,Right-handed,Right-arm fast-medium,Khyber Pakhtunkhwa
ODI World Cup,2023,Pakistan,Salman Ali Agha,23 November 1993,Right-handed,Right-arm off spin,Southern Punjab
ODI World Cup,2023,Pakistan,Saud Shakeel,5 September 1995,Left-handed,Left-arm orthodox spin,Sindh
ODI World Cup,2023,Pakistan,Shadab Khan (vc),4 October 1998,Right-handed,Right-arm leg spin,Khyber Pakhtunkhwa
ODI World Cup,2023,Pakistan,Shaheen Afridi,6 April 2000,Left-handed,Left-arm fast,Balochistan
ODI World Cup,2023,Pakistan,Usama Mir,23 December 1995,Right-handed,Right-arm leg spin,Central Punjab
ODI World Cup,2023,South Africa,Aiden Markram,4 October 1994,Right-handed,Right-arm off spin,Titans
ODI World Cup,2023,South Africa,Andile Phehlukwayo,3 March 1996,Left-handed,Right-arm medium-fast,Dolphins
ODI World Cup,2023,South Africa,Anrich Nortje,16 November 1993,Right-handed,Right-arm fast,Warriors
ODI World Cup,2023,South Africa,David Miller,10 June 1989,Left-handed,Right-arm off spin,Dolphins
ODI World Cup,2023,South Africa,Gerald Coetzee,2 October 2000,Right-handed,Right-arm fast,Knights
